ID;Descrição;Preço em R$
0;Cooler Fan Rise Mode, 120mm, Preto - RM-BK-01-FB;6,99
1;Cooler Fan Rise Mode Energy, 3 Unidades, 120mm, ARGB, Preto  - FN-02-RGB-5V;99,99
2;Cooler FAN Rise, 120mm, Branco - RM-FN-01-BW;10,99
3;Pasta Térmica Rise Silver Frost, 5g, Cinza - RM-TG-01-FRT;10,99
4;Water Cooler Rise Mode Gamer Black, RGB, 240mm, Preto - RM-WCB-02-RGB;199,99
5;Cooler Fan Rise Mode Hex, ARGB, 120mm, Preto - RM-FC-01-5V;29,99
6;Cooler FAN Rise Mode Wind W1, 120mm, LED Branco - RM-WN-01-BW;9,99
7;Cooler FAN Rise Mode Wind W1, 120mm, LED Azul - RM-WN-01-BB;9,99
8;Water Cooler Rise Mode RGB, 120mm, AMD/Intel, Preto - RM-WCB-01-RGB;159,99
9;Air Cooler Rise Mode Gamer G800, 180mm, RGB - RM-AC-O8-RGB;79,99
10;Cooler Fan Rise Mode Black, 80mm, Preto - RM-BK-02-FB;4,99
11;Cooler Fan Rise Smart, 3 Unidades, 120mm, RGB - RM-FN-02-RGB;89,99
12;Cooler FAN Rise Mode Wind W1, 120mm, LED Vermelho - RM-WN-01-BR;8,99
13;Cooler Fan Rise Mode Smart, RGB, 120mm, Preto - RM-FC-05-12V;19,99
14;Water Cooler Z 240 Rise Mode Frost, 240mm, RGB - RM WCZ 02 RGB;239,99
15;Cooler para Processador Gamer Rise Mode Z5, LED Rainbow, Intel e AMD, 90mm, Preto - RM-ACZ-Z5-RGB;39,99
16;Water Cooler Gamer Rise Mode, ARGB, Intel e AMD, 240mm, Preto - RM-WCB-04-ARGB;239,99
17;Cooler Fan Rise Mode Laser, 3 Unidades, 120mm, ARGB, Preto - RM-RGB-05-5V;89,99
18;Cooler FAN Rise 120mm Vermelho RM-FN-01-BR;8,99
19;Air Cooler Rise Mode Gamer G700, 180mm, LED Azul - RM-AC-O7-FB;44,99
20;Pasta Térmica Rise Mode Silver Cold, 5g, Cinza - RM-TG-01-CLD;19,99
21;Cooler para Processador Rise Mode Z2, AMD/Intel, Preto - RM-ACZ-02-BO;24,99
22;Kit Cooler Fan Gamer 5x Rise Mode Crystal Sound, 120mm, ARGB, Transparente - RM-CS-02-ARGB;129,99
23;Cooler Fan Rise Mode RGB Aura, 3 Unidades, 120mm, Preto - RM-AU-02-RGB;89,99
24;Cooler Fan Rise Mode Galaxy, Rainbow, 120mm, Preto - RM-FRM-02-RGB;13,99
25;Air Cooler Rise Mode Gamer Z4, 120mm, Branco - RM-ACZ-Z4-BW;32,99
26;Cooler para Processador Rise Mode Winter, 120mm, ARGB, Intel e AMD, Preto - RM-ACW-01-ARGB;169,99
27;Water Cooler Gamer Rise Mode Aura Frost Pro, 240mm ARGB, Intel e AMD, Branco - RM-WCZ-06-ARGB;269,99
28;Cooler FAN Rise, 120mm, Azul - RM-FN-01-BB;10,99
29;Water Cooler Rise Mode Frost, RGB, 120mm, Branco - RM WCZ 01 RGB;159,99
30;Cooler Fan Rise Mode Wind, Rainbow, 120mm, Preto - RM-WN-02-RGB;14,99
31;Water Cooler Rise Mode Frost, RGB, 360mm, Branco - RM-WCF-04-RGB;399,99
32;Cooler para Processador Cooler Master Blizzard T2, AMD/Intel, Preto - RR-T2-22FP-R1;79,99
33;Pasta Térmica Corsair TM30 - CT-9010001-WW;39,99
34;Air Cooler Rise Mode Gamer G200, 120mm, RGB - RM-AC-O2-RGB;19,99
