ID;Descrição;Preço em R$
0;HD Seagate 4TB BarraCuda, 3.5', SATA - ST4000DM004;549,99
1;HD Externo Seagate Expansion, 1TB, USB, Preto - STKM1000400;379,99
2;HD WD Red Plus, 4TB, 5400 RPM, 3.5', SATA - WD40EFPX;629,99
3;HD WD Blue 2TB, 3.5', SATA - WD20EZAZ;369,99
4;HD WD Blue 1TB, 3.5', SATA - WD10EZEX;249,99
5;Case F3 para HD SATA 2.5, USB 3.0, Transparente - CS-U3T;37,99
6;HD Externo Seagate Expansion 14TB, USB, Preto - STKP14000400;1.799,99
7;HD Externo Seagate Expansion, 2TB, USB, Preto - STKM2000400;499,99
8;HD Externo Seagate Expansion, 4TB, USB, Preto - STKM4000400;769,99
9;HD Toshiba Surveillance S300 PRO, 6TB, 7200 RPM, 3.5, SATA - HDWT360UZSVAR;749,99
10;HD Toshiba Surveillance S300, 4TB, 5400 RPM, SATA - HDWT840UZSVA;599,99
11;HD Western Digital Purple, 2TB, 64mb, Sata 3 - WD23PURZ;449,99
12;HD Seagate IronWolf Pro, 16TB, 7200 RPM, 3.5', SATA - ST16000NT001;2.299,99
13;HD Externo WD 2TB Elements, USB 3.0, Preto -  WDBU6Y0020BBK;479,99
14;HD WD Red Plus, 6TB, 5400 RPM, 3.5', SATA - WD60EFPX;789,99
15;HD Externo Seagate Expansion, 5TB, USB, Preto - STKM5000400;889,99
16;Case F3 Caddy para Notebook, 2.5', SATA - 1167;15,99
17;"HD WD Purple Pro 10TB, 7200RPM, Cache 256MB, 3.5"", SATA - WD101PURP";1.799,99
18;HD Externo Seagate Expansion 16TB, USB, Preto - STKP16000400;2.299,99
19;HD WD Purple Pro 18TB, 3.5´, 7200RPM, Cache 512MB, SATA - WD181PURP;2.799,99
20;HD Interno WD Gold Enterprise Class, 6TB, 7200 RPM, 3.5´, SATA - WD6003FRYZ;1.299,99
21;HD WD Red, 3TB, 3.5´, SATA 6Gb/s - WD30EFAX;549,99
22;Case para HD Externo 2,5 C3Tech, SATA, USB 2.0, Preto - CH-210BK;34,99
23;HD Segurança Seagate 2TB Skyhawk Surveillance, Sata 6gbps, 256MB, 3.5Polegadas - St2000vx017;463,44
24;HD Externo Toshiba Portátil Canvio Ready, 1TB, USB 3.0 - HDTP310XK3AA;319,99
25;"Case USB 3.0 para HD SATA 2.5"" Externo Transparente Infokit Gaveta para HD Ecase-300";30,50
26;Case para HD Externo 2,5 C3Tech, SATA, USB 3.0, Preto - CH-310BK;54,99
27;HD Externo Seagate Expansion, 10TB, USB, Preto - STKP10000400;1.599,99
28;HD Western Digital 1TB Caviar Blue, 7200 RPM, Cachê 64MB, 3.5, SATA III - WD10EZEX;249,81
29;Storage WD NAS My Cloud Expert Series EX2 Ultra 2-Bay Sem Disco - WDBVBZ0000NCH-NESN;1.499,99
30;"HD Toshiba L200, 1TB, 5400RPM, 128MB Cache, 2.5"", para Notebook, SATA - HDWL110UZSVA";199,99
31;HD Externo Portátil Seagate 1TB Basic Slim, 2.5, USB 3.0, Preto - STJL1000400;335,64
32;HD Interno Seagate 10TB IronWolf, NAS, 7.200 RPM, 256Mb, 3.5, SATA - ST10000VN000;1.999,99
33;HD Seagate 2TB Barracuda, 3.5, SATA - ST2000DM008;463,44
34;HD Interno Western Digital 1TB Purple, 5400 RPM, SATA 3 - WD10PURZ;294,02
35;HD WD Purple 8TB, 3.5, SATA - WD84PURZ;1.499,99
36;Gaveta HD Case Externo 3.5 Usb 2.0 - Preto - Mymax;35,11
37;Case para HD Externo F3, 2.5´, USB 2.0 - CS-U2;24,99
38;HD Seagate Skyhawk 4TB, 256 MB, 3.5, SATA - ST4000VX016;689,99
39;Case F3 para HD Externo, 2.5', USB 3.0 - JC- CS3.0;49,99
40;HD Seagate 4TB IronWolf Desktop, NAS, 5400 RPM, 256MB, 3.5, SATA 6 - ST4000VN006;699,00
41;HD Seagate 8TB IronWolf, NAS, 7200 RPM, Cachê 256MB, SATA 3 - ST8000VN004;1.729,60
42;HD Seagate IronWolf Pro, 4TB, 7200 RPM, 3.5', SATA - ST4000NT001;1.079,99
43;HD WD Black Performance, 2TB, 3.5', SATA - WD2003FZEX;698,99
44;HD Externo 12TB WD Elements Desktop, USB 3.0, Antichoque, Preto - WDBWLG0120HBK-NESN;1.699,99
45;Case Externo USB 3.0 Fast 5Gbps apoio UASP para HD SSD SATA II 2.5, 3TB, LED Colorido, Capa Protetora - Preta;39,50
46;HD Interno WD Gold Enterprise Class, 18TB, 7200 RPM, 3.5´, SATA - WD181KRYZ;3.299,99
47;HD Notebook Western Digital 1TB Sata3 Wd10spzx 7mm - 5400 Rpm;192,13
48;Dock Station Mymax, Para 2 HD SATA 2.5, Note E 3.5, PC, Com Botão Clone, Backup - MDCK-HD05U2/SL;131,12
49;HD Externo WD 4TB My Passport, USB 3.0, Azul - WDBPKJ0040BBL-WESN;699,99
50;Case Gaveta HD SSD Externo 2.5 Pol Sata 3 USB 3.0 Velocidade 5.0 Gbps Suporta Até 3TB;39,99
51;"Case para Hd Externo 3,5"" SATA USB 2.0 JC-CS3.5";69,99
52;HD Seagate SkyHawk AI, 18TB, Cache 256MB, SATA - ST18000VE002;2.699,99
53;Dock Station Usb 3.0 - Hd Sata 2.5 E 3.5 - Preto - Mymax;175,12
54;Case Gaveta Externa Para Hd Sata De Notebook 2.5 Usb 2.0 Mymax - Menc/u25ya-bk;17,51
55;HD Externo 18TB WD Elements Desktop Hard Drive, USB 3.0, Antichoque, Preto - WDBWLG0180HBK-NESN;2.499,99
56;HD Externo Seagate 8TB Expansion, USB 3.0 - STKP8000400;1.934,99
57;HD WD Purple 3TB Surveillance, 3.5', SATA - WD30PURZ;649,99
58;HD Externo Seagate 2TB Expansion, 2.5p, USB 3.0 - STKM2000400;475,00
59;HD Seagate 6TB SkyHawk, 3.5', SATA - ST6000VX001;899,99
60;HD Interno WD Gold Enterprise Class, 8TB, 7200 RPM, 3.5´, SATA - WD8004FRYZ;1.549,99
61;"HD WD Purple Pro 14TB, 7200RPM, Cache 512MB, 3.5"", SATA - WD141PURP";2.499,99
62;HD Western Digital, 500GB, 7200RPM, 6GB/s, Sata 3.5 - Wd5000azlx;104,39
63;"HD WD Red Plus, 8TB, 3.5"", SATA - WD80EFZZ";1.199,99
64;HD Interno Seagate 16TB SkyHawk AI, 256Mb, 3.5, para Vigilância, SATA - ST16000VE002;2.199,99
65;HD Externo Seagate 500GB Expansion, USB 3.0;252,06
66;Hdd Externo Portatil Adata 1TB Azul - AHD710p-1tu31-cbl;330,14
67;HD Externo WD Black 2TB Game Drive P10, USB 3.2, Preto - WDBA2W0020BBK-WESN;529,99
68;HD Externo Portátil Seagate 1TB Expansion, USB 3.0, Preto - STKM1000400;369,90
69;HD Externo Portátil Toshiba 4TB Canvio Basics, 2.5, USB 3.0, Preto - HDTB440XK3CA;689,31
70;Storage Synology NAS DS223, 1.7 GHz, 2GB, DDR4, Torre, 2 Baias - DS223;2.399,99
71;Gaveta HD Mymax 2TB, Adaptadora Caddy, Para Notebook, Cinza - 84717090;17,51
72;HD Seagate Exos 7E10, 4TB, 7200 RPM, 3.5', SAS - ST4000NM025B;1.399,99
73;HD Seagate 4TB Skyhawk, 5400 RPM, Cachê 256MB, 3.5, Para Segurança, Vigilância, DVR - ST4000VX013;739,26
74;HD Seagate 6TB Barracuda, 3.5', SATA - ST6000DM003;1.099,99
75;HD Desktop Western Digital Red Plus 8tb Nas Sata6 5640rpm, 128MB, 3,5Polegadas - WD80EFZZ-68BTXN0;1.316,04
76;"HD WD Purple Pro 8TB, 7200RPM, Cache 256MB, 3.5"", SATA - WD8001PURP";1.499,99
77;HD Interno WD Gold Enterprise Class, 10TB, 7200 RPM, 3.5´, SATA - WD102KRYZ;1.799,99
78;HD Externo 14TB WD Elements Desktop Hard Drive, USB 3.0, Antichoque, Preto - WDBWLG0140HBK-NESN;1.899,99
79;HD Seagate 18TB Surveillance Skyhawk, 7200 RPM, 256MB, SATA III - ST18000VE002;3.094,74
80;HD Externo Seagate 4TB Expansion, 2.5, USB 3.0 - STKM4000400;799,00
81;HD Externo Portatil Toshiba Canvio 2TB, Preto, HdTB520xk3aa;479,00
82;HD Externo Western Digital 4TB Elements, 2.5, USB 3.0, Preto - WDBU6Y0040BBK;723,75
83;HD Externo Portátil Western Digital 1TB Elements, USB 3.0 - WDBUZG0010BBK-WESN;342,80
84;Docking Station Wavlink USB-C, HUB 13 Em 1, Displayport, HDMI, VGA, Alimentação 100watt, Wl-umd03;750,00
85;HD Interno Western Digital 2TB Blue, 5400 RPM, 256MB, 3.5, SATA III - 20EZAZ;374,40
86;Adaptador Knup Caddy CD/DVD, Para Notebook, Para Segundo HD Ou SSD, 9.5mm;29,60
87;HD Seagate 500GB 5400rpm Sata Iii 2.5 Polegadas  - ST500LM030;104,39
88;HD Seagate 8TB Servidor Exos 7E10, 7200 RPM, 256MB, 3.5, SATA, 6GB/s, 512E , 4KN - ST8000NM019B;1.831,08
89;HD Interno WD Gold Enterprise Class, 4TB, 7200 RPM, 3.5´, SATA - WD4003FRYZ;1.199,99
90;Case HD 2.5 Polegadas E Sata SSD, USB 3.0, Transparente;36,90
91;Case para HD Externo 2,5 C3Tech, SATA, USB 3.0, Cinza - CH-350CB;54,99
92;HD WD Red, 16TB, 3.5, NAS, Cache 512Mb, 7200 RPM, SATA - WD161KFGX;2.199,99
93;HD Seagate 1TB Barracuda, 7200 RPM, Cachê 64MB, SATA III, 6GB/s - ST1000DM010;365,00
94;HD Seagate 1TB Barracuda, 7200 RPM - ST1000DM010;355,95
95;Case Gaveta Ssd Para Sata M2 Exbom;71,00
96;HD Western Digital 4TB Purple Surveillance, 3.5, SATA - WD40PURZ;899,00
97;HD WD Red 1TB NAS, 3.5', SATA - WD10EFRX;389,99
98;Gaveta HD Mymax 3.5pol, USB 3.0, Preto;87,91
