ID;Descrição;Preço em R$
0;Fonte MSI MAG A650BN, 650W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - 306-7ZP2B22-CE0;279,99
1;Fonte MSI MAG A500DN, 500W, 80 Plus Standard, PFC Ativo, sem cabo, Preto - 306-7ZP6A22-809;259,99
2;Fonte Corsair CV650, 650W, 80 Plus Bronze, com cabo, Preto - CP-9020236-BR;479,99
3;Fonte MSI MAG A850GL, 850W, 80 Plus Gold, Modular, PFC Ativo, com cabo, Preto;719,99
4;Fonte XPG Pylon, 650W, 80 Plus Bronze, com cabo, Preto - PYLON650B-BKCBR;349,99
5;Fonte XPG Kyber, 850W, 80 Plus Gold, sem cabo, Preto - KYBER850G-BKCBR;509,99
6;Fonte MSI MAG A550BN, 550W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - 306-7ZP2A22-CE0;294,99
7;Fonte MSI MAG A600DN, 600W, 80 Plus Standard, PFC Ativo, sem cabo, Preto - 306-7ZP6B22-809;399,99
8;Fonte Gigabyte GP-P450B, 450W, 80 Plus Bronze, PFC ativo, com cabo, Preto - 28200-P450B-1BRR;234,99
9;Fonte PowerX PX230, 230W, com Cabo, Branco- PX230;59,99
10;Fonte Corsair CV550, 550W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - CP-9020210-BR;349,99
11;Fonte Gigabyte GP-P550B, 550W, 80 Plus Bronze, PFC ativo, com cabo, Preto- 28200-P550B-1BRR;289,99
12;Fonte Cooler Master MWE Bronze V2 Full Range, 750W, 80 Plus Bronze, PFC Ativo, sem cabo, Preto - MPE-7501-ACAAW-BBR;464,99
13;Fonte Gamemax GX650, 650W, 80 Plus Gold, Modular, PFC Ativo, com cabo, Preto - GX650MBKV1S7710BR;409,99
14;Fonte Gamemax GX600, 600W, 80 Plus Gold, PFC Ativo, com cabo, Preto - GX600WBKPSS7710BR;369,99
15;Fonte Redragon RGPS, 600W, 80 Plus Bronze, Modular, PFC Ativo, sem cabo, Preto- GC-PS002-1;339,99
16;Fonte XPG Kyber, 750W, 80 Plus Gold, sem cabo, Preto - KYBER750G-BKCBR;549,99
17;Fonte Gigabyte P650B, 650W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - GP-P650B/BR;369,99
18;Fonte Gamemax GP650, 650W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - GP650;45,99
19;Fonte Gigabyte Ultra Durable UD850GM, 850W, 80 Plus Gold, Modular, PFC Ativo, sem cabo, Preto - GP-UD850GM;709,99
20;Fonte Gamemax GX850, 850W, 80 Plus Gold, Modular, PFC Ativo, com cabo, Preto - GX850MBKV1S7710BR;589,99
21;Fonte Gamemax GX700, 700W, 80 Plus Gold, PFC Ativo, com cabo, Preto - GX700WBKPSS7710BR;429,99
22;Fonte Atx Fortrek Crusader, 500w, Bivolt Manual, Cooler 120mm, Preto;118,90
23;Fonte Gamemax Gs600, 600w, 80plus White, Pfc Ativo, Preta;230,70
24;Fonte De Alimentação Fortrek Pws2003, 200W, ATX, 20+4P, Sem Cabo, Bivolt;45,99
25;Fonte Gigabyte UD1000GM PG5, 1000W, 80 Plus Gold, Modular, PFC Ativo, sem cabo, Preto - GP-UD1000GM PG5;1.109,99
26;Fonte Fortrek Black Hawk, 500W, 80 Plus Bronze, PFC Ativo, sem cabo, Preto - 70459;209,99
27;Fonte Gamemax GX1050 PRO, 1050W, 80 Plus Platinum, Modular, PFC Ativo, com cabo, Preto - GX1050PRBKS8810BR;776,99
28;Fonte Cooler Master MWE Bronze V2 Full Range, 550W, 80 Plus Bronze, Modular, PFC Ativo, com cabo, Preto - MPE-5501-ACAAW-BBR;289,99
29;Fonte Gigabyte Ultra Durable UD750GM, 750W, 80 Plus Gold, Modular, PFC Ativo, sem cabo, Preto - GP-UD750GM;729,99
30;Fonte Gigabyte Ultra Durable, 850W, 80 Plus Gold, Modular, PFC Ativo, sem cabo, Preto - GP-UD850GM PG5;799,99
31;Fonte Gamemax GX1050 PRO, 1050W, 80 Plus Platinum, Modular, PFC Ativo, com cabo, Metal - GX1050PRSLS8810BR;829,99
32;Fonte Redragon RGPS, 700W, 80 Plus Bronze, Modular, PFC Ativo, sem cabo, Preto - GC-PS005-1;509,99
33;Fonte MSI MAG A650GL, 650W, 80 Plus Gold, Modular, PFC Ativo, com cabo, Preto;599,98
34;Fonte Power X, ATX , 230W Real, Com Cabo, Com Caixa - PX230;59,68
35;Fonte Tronos ATX, 500W Real, Bivolt - TRS/5330-B;115,17
36;Fonte Cooler Master MWE Bronze V2 Full Range, 650W, 80 Plus Bronze, PFC Ativo, sem cabo, Preto - MPE-6501-ACAAW-BBR;409,99
37;Fonte Brazil PC Bpc-230, ATX 230W Real, 24 Pinos;42,74
38;Fonte Gamemax GX1250 PRO, 1250W, 80 Plus Platinum, Modular, PFC Ativo, com cabo, Metal - GX1250PROSLS8810BR;939,99
39;Fonte, Corsair CV750, 750W, 80 Plus Bronze, PFC Ativo;497,90
40;Fonte Duex DX 500FSE+, 500W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - Duex fse +;239,99
41;Fonte Gigabyte Ultra Durable UD750GM, 750W, 80 Plus Gold, Modular, PFC Ativo, sem cabo, Preto - GP-UD750GM;743,99
42;Fonte Tronos, 600W Real, PFC Ativo, Bivolt - TN/6350-B;130,61
43;Fonte Aerocool Gamer, 400W, 80 Plus, PFC Ativo, White Full Range, KCAS;199,00
44;Fonte Redragon RGPS, 500W, 80 Plus Bronze - GC-PS001-1;299,99
45;Fonte Aerocool ATX VX-350, 350W, PFC Ativo, Bivolt, Sem Cabo, EN57181;119,90
46;Fonte One Power ATX, 500W - MP500W3-I;152,00
47;Fonte Redragon RGPS, 600W, 80 Plus Bronze, Modular, PFC Ativo, sem cabo, Preto  - GC-PS003-1;429,99
48;Fonte Brazil PC Gamer, 750W Real, BPC/7400-B;173,35
49;Fonte Mymax ATX, 300W Real, Bivolt Manual, Com Cabo, Preto - MPSU/LP300W;104,72
50;Fonte MSI MAG A750GL, 750W, 80 Plus Gold, Modular, PFC Ativo, com cabo, Preto;739,99
51;Fonte ASUS TUF Gaming, 1200W, 80 Plus Gold, Modular, PFC Ativo, sem cabo, Preto - 90YE00S0-B0BA00;2.299,99
52;Fonte Duex ATX, 500W Real, 80 Plus Bronze, PFC Ativo, 20+4P - DX 500FSE;197,91
53;Fonte Gamemax GX850 PRO, 850W, 80 Plus Gold, Modular, PFC Ativo, com cabo, Preto - GX850PBKPS18810BR;749,99
54;Fonte Duex Dx 600wfse+ 600w, ATX, Bivolt Automático, 80 Plus Bronze, PFC Ativo, Preto;247,84
55;Fonte Fortrek Black Hawk ATX, 400W, 80 Plus, PFC Ativo;189,28
56;Fonte Mymax ATX, 400W Real, Bivolt Manual, 24 Pinos, Com Cabo;122,32
57;Fonte NZXT C Series, 750W, 80 Plus Bronze, PFC Ativo, com cabo, Preto - PA-7G1BB-US;499,99
58;Fonte Aerocool ATX, 600W, 80 Plus Bronze, Bivolt, FAN 120mm, Sem Cabo, KCAS;279,90
59;Fonte Tronos Brazil PC, 350W Real, Bivolt Manual - BPC-325V1.2 - OEM;71,92
60;Fonte C3Tech, 200W Real, Bivolt Manual, PS-200V4;47,15
61;Fonte Cooler Master G600, 600W, 80 Plus Gold, PFC Ativo, com cabo, Preto - MPW-6001-ACAAG-BR;439,99
62;Fonte Brx, Atx 550w, Automatica Pfc - B-sa550w;142,03
63;Fonte De Alimentação Gamemax Gx850 850w 80 Plus Pfc Ativo Gold FULL Modular, Preta - Gx850mbkv1s7710br;536,60
64;Fonte Aerocool Gamer, 500W, 80 Plus Bronze, PFC Ativo, Full Range, KCAS;229,90
65;Fonte Corsair CV550, 550W, 80 Plus Bronze, PFC Ativo, Com Cabo de Força, 12V, Preto - CP-9020210-BR;348,90
66;Fonte Corsair ATX CV650, 650W, 80 Plus Bronze, Com Cabo De Força - CP-9020236-BR;449,00
67;Fonte BRX ATX, 750W, Rainbow RGB, BRX 80 Plus Bronze, Automática;289,00
68;Fonte Mymax ATX, 500W Real, Bivolt Manual, 24 Pinos, Cabo Incluso;157,52
69;Fonte Ubiquiti Poe Para U6-lite 802.3af - U-poe-af I;79,20
70;Fonte Bluecase Blu350-Epfc, 350W, Para Pc/Desktop, Bivolt, Com Cabo, Preto;125,10
71;Fonte Brazil PC Bpc/6350-B, Atx 600W Real, 24 Pinos Box;123,03
72;Fonte Cooler Master G500, 500W, 80 Plus Gold, PFC Ativo, com cabo, Preto - MPW-5001-ACAAG-BR;389,99
73;Fonte Multi, 200W, 127V e 220V, Sem Cabo- ga224;64,90
74;Fonte Gamemax GX800, 800W, 80 Plus Gold, PFC Ativo, com cabo, Preto - GX800WBKPSS7710BR;549,99
75;Fonte Redragon RGPS-500W, 500W, 80 Plus Bronze, PFC Ativo, Bivolt, Cabos Fixos - GC-PS001-1;304,00
