ID;Descrição;Preço em R$
0;Memória Rise Mode Z, 8GB, 3200MHz, DDR4, CL16, Preto - RM-D4-8G-3200Z;119,99
1;Memória Gamer Husky Gaming Avalanche, 16GB, 3200MHz, DDR4, CL19, Preto - HGMF008;219,99
2;Memória Kingston Fury Beast, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB/8;149,99
3;Memória Rise Mode, 8GB, 1600MHz, DDR3, CL11 - RM-D3-8G1600V;59,99
4;Memória Gamer Husky Gaming Avalanche, 8GB, 3200MHz, DDR4, CL19, Preto - HGMF007;119,99
5;Memória Kingston Fury Beast RGB, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB12A/16;289,99
6;Memória Kingston Fury Impact, 8GB, 3200MHz, DDR4, CL20, Para Notebook - KF432S20IB/8;145,99
7;Memoria Gamer Rise Mode Value, 16GB, 3200MHZ, DDR4, CL16, Para Notebook - RM-D4-16G-3200VN;189,99
8;Memória Kingston Fury Beast, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB1/16;289,99
9;Memória Rise Mode Z, 8GB, 3200MHz, DDR4, CL16, Branco - RM-D4-8G-3200ZW;109,99
10;Memória Kingston Fury Impact, 16GB, 3200MHz, DDR4, CL20, Para Notebook - KF432S20IB/16;275,99
11;Memória Husky Technologies, 8GB, 2666MHz, DDR4, CL19, para Notebook - HTCQ001;109,99
12;Memoria Gamer Rise Mode Value, 8GB, 2666MHZ, DDR4, CL17, Para Notebook - RM-D4-8G-2666VN;99,99
13;Memória Rise Mode, 4GB, 1600MHz, DDR3, CL11, para Notebook - RM-D3-4G1600N;39,99
14;Memória Gamer Husky Gaming, 16GB, 2666MHz, DDR4, CL19, Preto - HGMF002;199,99
15;Memória Kingston Fury Beast RGB, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BB2A/8;189,99
16;Memoria Gamer Rise Mode Value, 16GB, 2666MHZ, DDR4, CL17, Para Notebook - RM-D4-16G-2666VN;199,99
17;Memória Kingston Fury Beast RGB, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - KF432C16BB12AK2/32;639,99
18;Memória XPG Gammix D30, 8GB, 3200MHz, DDR4, CL19, Cinza - AX4U32008G16A-SB30;129,99
19;Memória Lexar, 16GB, 3200MHz, DDR4, CL22 - LD4AU016G-B3200GSST;209,99
20;Memória Corsair Vengeance LPX, 8GB, 3200MHz, DDR4, CL16, Preta - CMK8GX4M1E3200C16;149,99
21;Memória XPG Spectrix D50, RGB, 8GB, 3600MHz, DDR4, CL18, Cinza - AX4U36008G18I-ST50;189,99
22;Memória XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-SWHD35G;279,99
23;Memória Corsair Vengeance, 32GB (2x16GB), 5600MHz, DDR5, CL36, Preto - CMK32GX5M2B5600C36;799,99
24;Memória Kingston, 8GB, 2666MHz, DDR4, CL19, para Desktop - KVR26N19S6/8;105,99
25;Memória Corsair Vengeance LPX, 8GB, 2666MHz, DDR4, C16, Preto - CMK8GX4M1A2666C16;154,99
26;Memória Kingston Fury Beast, RGB, 8GB, 3200MHz, DDR4, CL16, Preto - KF432C16BBA/8;169,99
27;Memória XPG Gammix D35, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35;249,99
28;Memória Adata XPG, 8GB, 2666MHz, DDR4, CL19, Verde, Para Notebook - AD4S26668G19-SGN;119,99
29;Memória XPG Gammix D10 8GB, 3200MHz, DDR4, CL16, Preto - AX4U32008G16A-SB10;145,99
30;Memória Corsair Vengeance LPX 32GB (2x16GB), 3600MHz, DDR4, C18, Preto - CMK32GX4M2D3600C18;599,99
31;Memória Kingston Fury Beast, 8GB, 2666MHz, DDR4, CL16, Preto - KF426C16BB/8;159,99
32;Memória Corsair Vengeance Series, 16GB, 3200MHz, DDR4, CL22, para Notebook, Preto - CMSX16GX4M1A3200C22;279,99
33;Memória Crucial Basics, 8GB, 2666MHz, DDR4, CL19 - CB8GU2666;119,99
34;Memória Adata XPG, 16GB, 2666MHz, DDR4, CL19, Verde - AD4U266616G19-SGN;199,99
35;Memória Rise Mode Diamond 16GB, 3200MHz, DDR4, CL15, White - RM-D4-16G-3200D;219,99
36;Memória XPG Gammix D45, 8GB, 3600MHz, DDR4, CL18, Preto - AX4U36008G18I-CBKD45;159,99
37;Memória Kingston, 8GB, 1600MHz, DDR3, CL11 - KVR16N11/8;69,64
38;Memória Kingston Fury Beast, RGB, 16GB, 3200MHz, DDR4, CL16, Preto - KF432C16BBA/16;299,99
39;Memória Kingston Fury Impact, 8GB, 2666MHz, DDR4, CL15, para Notebook - KF426S15IB/8;149,99
40;Memória Crucial, 8GB, 3200MHz, DDR4, CL22, para Notebook - CT8G4SFRA32A;149,99
41;Memória Husky Technologies, 4GB, 2666MHz, DDR4, CL19, para Notebook - HTCQ000;69,99
42;Memória XPG Lancer, RGB, 32GB (2x16GB) 6000MHz, DDR5, CL40 - AX5U6000C4016G-DCLARBK;989,99
43;Memória Kingston, 8GB, 2666MHz, DDR4, CL19, para Notebook - KVR26S19S6/8;129,99
44;Memória Kingston Fury Impact, 16GB, 2666MHz, DDR4, CL16, para Notebook - KF426S16IB/16;279,99
45;Memória Kingston Fury Impact, 8GB, 3200MHz, DDR4, CL20, para Notebook - KF432S20IB/8R;149,99
46;Memória Corsair Vengeance LPX 32GB 2666Mhz DDR4 C16 Black - CMK32GX4M1A2666C16;439,99
47;Memória Gamer Husky Gaming Blizzard RGB, 8GB, 3200MHz, DDR4, CL19, Preto - HGMF004;139,99
