ID;Descrição;Preço em R$
0;Placa Mãe MSI A520M-A PRO, AMD AM4, mATX, DDR4;339,99
1;Placa Mãe Asus TUF GAMING A520M-PLUS II, AMD AM4, mATX, DDR4;549,99
2;Placa-Mãe MSI B550M Pro-VDH WiFi, AMD AM4, mATX;699,99
3;Placa-Mãe MSI MPG B550 Gaming Plus, AMD AM4, ATX;929,99
4;Placa Mãe MSI B560M PRO-E, Intel LGA 1200, mATX, DDR4;449,99
5;Placa Mãe Gigabyte B660M DS3H, Intel LGA 1700, mATX, DDR4, M.2 NVME;829,99
6;Placa Mãe Gigabyte B450M K, AMD AM4, mATX, DDR4;429,99
7;Placa Mãe Gigabyte A520M DS3H V2, AMD, Micro ATX, DDR4 - A520M DS3H V2;459,99
8;Placa-Mãe Asus TUF Gaming B450M-Plus II, AMD AM4, mATX, DDR4;639,99
9;Placa Mãe MSI H310M PRO-VDH, Intel 1151, m-ATX, DDR4 - H310M PRO-VDH;259,99
10;Placa Mãe Gigabyte A520M K V2 (rev. 1.0), AMD, Micro ATX, DDR4 - A520M K V2;389,99
11;Placa Mãe MSI A320M-A Pro, AMD AM4, mATX, DDR4;349,99
12;Placa-Mãe Gigabyte H510M H V2, Intel LGA 1200, 10ª E 11ª Geração, mATX, DDR4 - H510M H V2;489,99
13;Placa Mãe ASUS Prime H510M-A R2.0, Intel, ATX, DDR4, LGA 1200, H470 - 90MB1FP0-M0EAY0;589,99
14;Placa Mãe Gigabyte B550M DS3H, AMD AM4, Micro ATX, DDR4;719,99
15;Placa-Mãe MSI B450M Pro-VDH Max p/ AMD AM4, m-ATX, DDR4;529,99
16;Placa Mãe MSI B450M-A Pro Max, AMD AM4, Micro-ATX, DDR4;399,99
17;Placa Mãe Gigabyte B760M AORUS ELITE (rev. 1.0), LGA 1700, DDR5;1.399,99
18;Placa Mãe ASRock B450M Steel Legend, AMD AM4, mATX, DDR4;709,99
19;Placa Mãe Asus Prime A520M-E, AMD AM4, mATX, DDR4;469,99
20;Placa Mãe Gigabyte H410M H V2, Intel, Micro ATX, DDR4 - H410M H V2;469,99
21;Placa Mãe ASRock B450M-HDV R4.0, AMD AM4, Micro ATX, DDR4;359,99
22;Placa Mãe Gigabyte B550M Aorus Elite, AMD AM4, Micro ATX, DDR4;1.042,62
23;Placa Mãe ASRock H610M-HVS Intel, M-ATX, DDR4, Socket LGA 1700, HDMI, VGA;449,99
24;Placa Mãe Asus TUF Gaming X670E-Plus Wi-Fi, AMD X670, AM5, DDR5 - 90MB1BK0-M0EAY0;3.999,99
25;Placa Mãe Asus Prime H610M-E D4, Intel LGA 1700, mATX, DDR4;649,99
26;Placa Mãe Asus TUF Gaming X570-Plus Wi-Fi, AMD AM4, ATX, DDR4;1.699,99
27;Placa Mãe Gigabyte B450M Gaming, AMD AM4, mATX, DDR4;659,00
28;Placa-Mãe Gigabyte H510M REV.1.0, Intel LGA 1200 10ª E 11ª Geração, mATX, DDR4 - H510M H;591,82
29;Placa Mãe Asus TUF Gaming B550M-Plus, AMD AM4, mATX, DDR4;949,99
30;Placa-Mãe Gigabyte H610M-H, Intel 1700, 2xDDR4, M.2, HDMI, VGA, 12ª Geração;628,15
31;Placa Mãe Gigabyte A520M DS3H, AMD AM4, Micro ATX, DDR4;499,99
32;Placa Mae Asus Intel 1200, DDR4, HDMI/VGA 10/11° Geração, Prime H510m-e;584,08
33;Placa Mãe Gigabyte B450M DS3H V2, AMD B450, mATX, DDR4, (rev. 1.0);799,99
34;Placa Mãe Gigabyte Z690 UD, Intel LGA 1700, ATX, DDR4, M.2 NVMe, (rev. 1.0);1.699,99
35;Placa-Mãe Asus Prime B550m-A, AM4 DDR4, VGA DVI-D, HDMI M.2 Usb3.2;719,90
36;Placa-Mãe Asus Prime D4, Intel LGA 1700, mATX, DDR4 - H610M-E;549,90
37;Placa Mãe ASRock B650M PG Riptide, AMD, Micro ATX, DDR5 - 90-MXBJ9*;1.299,99
38;Placa-Mãe Gigabyte H310M-M.2, Intel LGA 1151 8ª Geração;466,19
39;Placa-Mãe MSI PRO H610M-G, Intel LGA 1700, mATX, DDR4;640,05
40;Placa Mãe Gigabyte B550m K, Amd Am4, Chipset B550, Matx, Ddr4 - B550m K;659,90
41;Placa Mãe Gigabyte Z690 UD AX (rev. 1.0), Intel LGA 1700, ATX, DDR4, M.2 NVME, WIFI - Z690 UD AX;1.449,99
42;Placa-Mãe Asus TUF Gaming B550M-PLUS, AMD AM4, mATX , DDR4, M.2, Aura para fita RGB - 90MB14A0-C1BAY0;1.029,90
43;Placa-Mãe Gigabyte A520m S2h, AMD AM4, M-ATX, DDR4;465,00
44;Placa-Mãe Asrock H610m, P/ Intel LGA 1700 (Intel 13ª E 12ª Geração), Matx, DDR4 - H610m-Hvs/M.2 R2.0;603,10
45;Placa Mãe Gigabyte H610M H V2, Intel, M-ATX, DDR4 - H610M H V2 DDR4;639,99
46;Placa Mãe Gigabyte B550m Ds3h Ac Am4 Ddr4 3200mhz Matx Wi-fi HDMI Dvi-d Usb 3.2;802,52
47;Placa-Mãe Asus Prime B550M-K, AMD AM4, mATX, DDR4, VGA, DVI, HDMI, M2;684,81
48;Placa Mãe Asus Prime A520M-E, AMD AM4, mATX, DDR4;425,00
49;Placa Mãe Asus ROG Strix Z790-F Gaming Wi-Fi, Intel LGA1700 Z790, ATX, DDR5 - 90MB1CP0-M0EAY0;4.299,99
50;Placa Mae Afox H81-ma2-v4 Intel 1150 H81m.2 2xDDR3 HDMI/VGA 4ºgeração;242,01
51;Placa Mãe Gigabyte H410M S2H V2, Intel, LGA1200, m-ATX, DDR4;489,99
52;Placa Mãe MSI MPG B550 Gaming Plus, AMD AM4, Chipset B550, ATX, DDR4 - 911-7c56-031;1.229,00
53;Placa Mãe Gigabyte B760m Aorus Elite, Intel 13ª/12ª Geração, LGA 1700, DDR5, Micro Atx;1.199,90
54;Placa Mãe Asrock, B660m, Phantom Gaming 4 Lga1700, Ddr4 HDMI Dp M.2;817,11
55;Placa Mãe ASRock B760M-HDV/M.2 D4, Intel, Micro ATX, DDR4 - 90-MXBL4*;799,99
56;Placa Mãe Asus ROG Strix Z790-A Gaming Wi-Fi, D4, Intel LGA1700 Z790, ATX, DDR4 - 90MB1CN0-M0EAY0;2.899,99
57;Placa Mãe Gigabyte H610m H, Intel, LGA 1700, mATX, DDR4, Chipset H610;584,99
58;Placa Mãe Goline Gl-h61m-g Socket LGA 1155, 16GB, DDR3, VGA;194,00
59;Placa Mãe MSI PRO Z790-A Max, ATX, DDR5, Wi-Fi, RGB, Bluetooth;2.299,99
60;Placa Mãe Asus Rog Strix B650E-I Gaming WiFi, AMD, Mini-ITX, DDR5, RGB, WiFi, Bluetooth - 90MB1BI0-M0EAY0;2.799,99
61;Placa Mãe Afox, Lga 1155 Ddr3 HDMI Vga M.2 - Ih61-ma2-v4;223,11
62;Placa-Mãe Asus Prime R2.0 BR, Intel LGA 1151, mATX, DDR4 - H310M-E;701,99
63;Placa-Mãe Asus Prime H610M-K D4, Intel LGA 1700, mATX, DDR4, HDMI e VGA, M.2, USB 3.2 -90MB1A10-M0EAY0;606,90
64;Placa Mãe Gigabyte A520m Ds3h V2, AMD AM4, Chipset A520, Matx, DDR4 - A520m Ds3h V2;469,90
65;Placa-Mãe Belmicro X99f Itzr, Lga 2011;539,10
66;Placa Mãe Gigabyte B550m Aorus Elite, Amd Am4, Chipset B550, Matx, Ddr4 - B550m Aorus Elite;1.300,00
67;Placa Mãe Gigabyte Z790m Aorus Elite Ax, Wi-fi, Ddr5, Microatx, Lga1700;3.341,95
68;Placa Mãe MSI MAG Z790 Tomahawk Max, ATX, DDR5, Wi-Fi, RGB, Bluetooth;2.799,99
69;Placa-Mãe AsRock A520M-HVS, AMD AM4, mATX, DDR4 - 90-MXBE60-A0UAYZ;431,15
70;Placa-Mãe Asus, AMD AM4 A520, DDR4, M.2, HDMI, VGA e DisplayPort - A520M-A-II;516,51
71;Placa-Mãe AsRock H510M-HVS R2.0, Intel LGA 1200, mATX, DDR4 - 90-MXBGT0-A0BAYZ;486,25
72;Placa-Mãe Gigabyte B760 Gaming X, Intel LGA 1700, DDR5, ATX;1.524,71
73;Placa-Mãe MSI PRO, AMD AM5, mATX, DDR5, HDMI e DP, Wi-Fi, 6E - B650M-A;1.705,10
74;Placa-Mãe Gigabyte B760 Gaming X Ax, DDR5, Intel LGA 1700, Wi-Fi, M.2;1.389,90
