ID;Descrição;Preço em R$
0;SSD 128GB KBM! Gaming, SATA III, Leitura 570 MB/s, Gravação 500 MB/s - KGSSD100128;79,99
1;SSD 1 TB Kingston NV2, M.2 2280 PCIe, NVMe, Leitura: 3500 MB/s e Gravação: 2100 MB/s - SNV2S/1000G;379,99
2;SSD 500 GB Kingston NV2, M.2 2280 PCIe, NVMe, Leitura: 3500 MB/s e Gravação: 2100 MB/s - SNV2S/500G;249,99
3;SSD 480 GB Kingston A400, SATA, Leitura: 500MB/s e Gravação: 450MB/s - SA400S37/480G;219,99
4;SSD 256GB KBM! Gaming, SATA III, Leitura 570 MB/s, Gravação 500 MB/s - KGSSD100256;129,99
5;SSD 240 GB Kingston A400, SATA, Leitura: 500MB/s e Gravação: 350MB/s - SA400S37/240G;159,99
6;SSD 512GB KBM! Gaming, SATA III, Leitura 520 MB/s, Gravação 450 MB/s - KGSSD100512;169,99
7;SSD 1 TB Kingston Fury Renegade, M.2 2280 PCIe, NVMe, Leitura: 7300MB/s e Gravação: 6000MB/s, Preto - SFYRS/1000G;519,99
8;SSD 960 GB Kingston A400, SATA, Leitura: 500MB/s e Gravação: 450MB/s - SA400S37/960G;379,99
9;"SSD 480GB PNY CS900, SATA 2.5"", Leitura: 550MB/s e Gravação: 500MB/s - SSD7CS900-480-RB";159,99
10;SSD Adata Legend 710, 512GB, M.2 2280 PCIe GEN3x4, NVMe 1.4, Leitura: 2.400 MB/s e Gravação: 1.800 MB/s, Azul - ALEG-710-512GCS;204,99
11;SSD 256GB KBM! Gaming, M.2 NVMe, PCIe, Leitura 1800 MB/s, Gravação 1300 MB/s - KGSSD300256;119,99
12;SSD Adata SU650, 512GB, SATA, Leitura: 520MB/s e Gravação: 450MB/s, Preto - ASU650SS-512GT-R;189,99
13;SSD 1TB Kingston KC3000, M.2 2280 PCIe, NVMe, Leitura: 7000MB/s e Gravação: 6000MB/s - SKC3000S/1024G;699,99
14;SSD Lexar NVME 1TB, Leitura 3500MB/s, Gravação 3000MB/s, Preto - LNM620X001T-RNNNU;319,99
15;SSD Externo 1 TB Sandisk, USB, Leitura: 520MB/s - SDSSDE30-1T00-G25;439,99
16;SSD Rise Mode Gamer Line 240GB, SATA, Leitura 535MB/s, Gravação 435MB/s - RM-SSD-240;119,99
